405,650th St,Unpaved,2.9,7.1,107,Peru,Dunn,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr107.aspx,4666.29537841833
406,650th St,Paved,3.2,7.1,107,Peru,Dunn,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr107.aspx,5087.94737388851
407,70th St,Paved,1.3,2.4,41,Georgetown,Polk,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr41.aspx,2118.24967463276
408,710th Ave,Paved,0.5,4,92,River Falls,Pierce,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr92.aspx,805.150037923146
409,770th Ave,Paved,1.2,4,92,River Falls,Pierce,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr92.aspx,1886.68059053318
410,7th Dr,Paved,0.6,2.2,102,Richford,Waushara,https://wisconsindot.gov/Pages/travel/rorustic-roads/rr102.aspx,945.211800034507
411,910th St,Paved,2.3,4,92,River Falls,Pierce,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr92.aspx,3627.50822523459
412,9th Ave,Paved,0.1,2.2,102,Richford,Waushara,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr102.aspx,239.826837751069
413,Airport Rd,Paved,1.4,27,119,Washington,Door,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr119.aspx,2267.32020563304
414,Amsterdam Prairie Rd,Paved,1.7,2.7,64,Holland,La Crosse,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr64.aspx,2764.39127368376
415,Amsterdam Prairie Rd,Paved,0,2.7,64,Holmen,La Crosse,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr64.aspx,38.1943811591078
416,Buncombe Rd,Paved,3.8,7.6,66,Benton,Lafayette,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr66.aspx,6123.63317450088
417,Bundy Hollow Rd,Paved,0.3,2.8,112,Ironton,Sauk,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr112.aspx,423.356197163286
418,Bundy Hollow Rd,Paved,2.5,2.8,112,La Valle,Sauk,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr112.aspx,4019.90902307354
419,County C,Paved,0.1,2.5,31,Hamilton,La Crosse,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr31.aspx,159.661912826575
420,County C,Paved,9.2,26,118,Wabeno,Forest,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr118.aspx,14829.3298856312
421,County C,Paved,0.7,2.5,31,West Salem,La Crosse,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr31.aspx,1063.57530023231
422,Camp 1 Rd,Unpaved,4.8,26,118,Wabeno,Forest,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr118.aspx,7700.83010327177
423,Camp Pinemere Rd,Paved,0.4,4.5,59,Minocqua,Oneida,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr59.aspx,564.930106399289
424,Cana Island Rd,Paved,2.4,2.4,38,Baileys Harbor,Door,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr38.aspx,3930.03183160896
425,Cary Dam Rd,Unpaved,4.3,9,34,Alvin,Forest,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr34.aspx,6963.50532917456
426,Ccc Rd,Paved,3.9,8.1,98,Oakland,Burnett,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr98.aspx,6243.3032880375
427,Centennial Centre Blvd,Paved,0.5,4.4,40,Hobart,Brown,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr40.aspx,730.400976187434
428,Chippewa Trl,Unpaved,2.7,2.8,93,Luck,Polk,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr93.aspx,4388.29712495583
429,Chippewa Trl,Unpaved,0.1,2.8,93,Luck,Polk,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr93.aspx,108.277630585525
430,Chrislaw Rd,Paved,1.1,5.9,110,Lodi,Columbia,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr110.aspx,1784.35843965682
431,Chrislaw Rd,Paved,0.6,5.9,110,West Point,Columbia,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr110.aspx,948.330664425313
432,Church St,Paved,0.9,5.7,12,Lyons,Walworth,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr12.aspx,1440.83256172194
433,City Loop Dr,Paved,0.2,2.5,31,West Salem,La Crosse,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr31.aspx,248.027820904804
434,Clara Lake Dr,Unpaved,1.1,2.4,41,Georgetown,Polk,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr41.aspx,1702.98116331658
435,Cloverdale Rd,Unpaved,1.5,2.7,73,Green Grove,Clark,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr73.aspx,2438.56110605929
436,Cloverland Dr,Paved,1,9.3,82,Ashford,Fond Du Lac,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr82.aspx,1623.18875621876
437,Cobbtown Rd,Paved,0.5,4.1,57,Farmington,Waupaca,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr57.aspx,838.584816254698
438,Cold Spring Rd,Paved,2.2,3.5,88,Cold Spring,Jefferson,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr88.aspx,3616.44923248604
439,Cold Spring Rd,Paved,1.1,3.5,88,Koshkonong,Jefferson,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr88.aspx,1795.10129647076
440,Cold Springs Rd,Paved,0.2,3.5,88,Whitewater,Walworth,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr88.aspx,273.826721991399
441,Columbia Ave,Unpaved,3.4,8.9,76,Hewett,Clark,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr76.aspx,5516.01946459103
442,Commercial St,Paved,0,10.1,70,Liberty,Grant,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr70.aspx,57.8878059355058
443,Cottonville Ave,Unpaved,1.5,4.7,50,Preston,Adams,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr50.aspx,2464.61741577371
444,Cottonville Ave,Unpaved,2.7,4.7,50,Richfield,Adams,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr50.aspx,4403.32460104418
445,Cottonville Ave,Paved,0.5,4.7,50,Richfield,Adams,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr50.aspx,739.385249401507
446,Federal Forest Rd 203,Unpaved,5.9,17.1,95,Spider Lake,Sawyer,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr95.aspx,9421.97474843924
447,Federal Forest Rd 203,Paved,2.1,17.1,95,Spider Lake,Sawyer,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr95.aspx,3450.415302865
448,Federal Forest Rd 622,Unpaved,3,17.1,95,Spider Lake,Sawyer,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr95.aspx,4881.29740642346
449,Firelane Rd,Unpaved,3.5,13.1,114,Atlanta,Rusk,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr114.aspx,5597.11733637595
450,Fishel Rd,Paved,3.6,9,34,Alvin,Forest,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr34.aspx,5831.79946304126
451,Fisher Ave,Unpaved,1,8.9,76,Hewett,Clark,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr76.aspx,1575.26242163999
452,Foley Rd,Paved,1.8,4.1,57,Farmington,Waupaca,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr57.aspx,2915.00203528337
453,Forest Rd,Paved,0.9,4.4,40,Hobart,Brown,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr40.aspx,1517.5924716092
454,Forest Rd 164,Unpaved,3.8,25.3,111,Chippewa,Ashland,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr111.aspx,6038.26589596734
455,Fries Ln,Paved,0.1,3.1,5,Norway,Racine,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr5.aspx,90.1998917786871
456,County G,Paved,7.9,13.2,100,Oma,Iron,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr100.aspx,12747.8187542078
457,Garland St,Paved,0.3,2.5,31,West Salem,La Crosse,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr31.aspx,404.458281577618
458,Garrity Rd,Paved,0.8,3.9,53,Kaukauna,Outagamie,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr53.aspx,1336.50446034739
459,Glendenning Rd,Paved,1,1.2,79,Oakland,Burnett,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr79.aspx,1661.85726751969
460,Glendenning Rd,Paved,0.1,1.2,79,Swiss,Burnett,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr79.aspx,189.98541935745
461,Greiner Rd,Paved,0.7,3.9,53,Kaukauna,Outagamie,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr53.aspx,1204.92835728434
462,County Line St,Paved,0.4,4.5,67,Almena,Barron,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr67.aspx,606.271534222031
463,County Line St,Paved,1,4.5,67,Beaver,Polk,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr67.aspx,1654.67893129485
464,Covered Bridge Rd,Paved,0.2,1.8,117,Springwater,Waushara,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr117.aspx,243.340946017512
